customer_id,name,email,purchase_amount,purchase_date,region,purchase_amount_rounded,customer_tier,extraction_timestamp,discount_eligible
1,Customer_1,customer_1@example.com,218.09736792197262,2026-05-22,West,218.1,Standard,2026-05-22T11:58:19.566353,True
2,Customer_2,customer_2@example.com,682.3939481238384,2026-05-22,South,682.39,Premium,2026-05-22T11:58:19.566353,True
3,Customer_3,customer_3@example.com,925.5198204166884,2026-05-22,East,925.52,Premium,2026-05-22T11:58:19.566353,True
4,Customer_4,customer_4@example.com,539.4980396129438,2026-05-22,South,539.5,Premium,2026-05-22T11:58:19.566353,True
5,Customer_5,customer_5@example.com,171.46905453284143,2026-05-22,East,171.47,Standard,2026-05-22T11:58:19.566353,False
6,Customer_6,customer_6@example.com,234.34434611875017,2026-05-22,East,234.34,Standard,2026-05-22T11:58:19.566353,True
7,Customer_7,customer_7@example.com,466.22701005602937,2026-05-22,South,466.23,Standard,2026-05-22T11:58:19.566353,True
8,Customer_8,customer_8@example.com,609.9213995070955,2026-05-22,East,609.92,Premium,2026-05-22T11:58:19.566353,True
9,Customer_9,customer_9@example.com,957.5143082556008,2026-05-22,East,957.51,Premium,2026-05-22T11:58:19.566353,True
10,Customer_10,customer_10@example.com,263.75179570990156,2026-05-22,East,263.75,Standard,2026-05-22T11:58:19.566353,True
11,Customer_11,customer_11@example.com,156.99156908930917,2026-05-22,North,156.99,Standard,2026-05-22T11:58:19.566353,False
12,Customer_12,customer_12@example.com,991.2395817632921,2026-05-22,West,991.24,Premium,2026-05-22T11:58:19.566353,True
13,Customer_13,customer_13@example.com,466.5524836831499,2026-05-22,South,466.55,Standard,2026-05-22T11:58:19.566353,True
14,Customer_14,customer_14@example.com,108.01194091531404,2026-05-22,East,108.01,Standard,2026-05-22T11:58:19.566353,False
15,Customer_15,customer_15@example.com,670.549671182841,2026-05-22,East,670.55,Premium,2026-05-22T11:58:19.566353,True
16,Customer_16,customer_16@example.com,365.7627255922593,2026-05-22,West,365.76,Standard,2026-05-22T11:58:19.566353,True
17,Customer_17,customer_17@example.com,329.08664462841006,2026-05-22,West,329.09,Standard,2026-05-22T11:58:19.566353,True
18,Customer_18,customer_18@example.com,465.8182547135345,2026-05-22,East,465.82,Standard,2026-05-22T11:58:19.566353,True
19,Customer_19,customer_19@example.com,511.05748009660994,2026-05-22,South,511.06,Premium,2026-05-22T11:58:19.566353,True
20,Customer_20,customer_20@example.com,981.8020988457494,2026-05-22,North,981.8,Premium,2026-05-22T11:58:19.566353,True
21,Customer_21,customer_21@example.com,990.7146066507381,2026-05-22,East,990.71,Premium,2026-05-22T11:58:19.566353,True
22,Customer_22,customer_22@example.com,596.6231541064392,2026-05-22,East,596.62,Premium,2026-05-22T11:58:19.566353,True
23,Customer_23,customer_23@example.com,119.57145844128864,2026-05-22,West,119.57,Standard,2026-05-22T11:58:19.566353,False
24,Customer_24,customer_24@example.com,532.6596948297828,2026-05-22,East,532.66,Premium,2026-05-22T11:58:19.566353,True
25,Customer_25,customer_25@example.com,792.8113821839111,2026-05-22,South,792.81,Premium,2026-05-22T11:58:19.566353,True
26,Customer_26,customer_26@example.com,934.6165226432598,2026-05-22,South,934.62,Premium,2026-05-22T11:58:19.566353,True
27,Customer_27,customer_27@example.com,501.2679475820798,2026-05-22,North,501.27,Premium,2026-05-22T11:58:19.566353,True
28,Customer_28,customer_28@example.com,805.0305811164756,2026-05-22,West,805.03,Premium,2026-05-22T11:58:19.566353,True
29,Customer_29,customer_29@example.com,273.0867733274728,2026-05-22,North,273.09,Standard,2026-05-22T11:58:19.566353,True
30,Customer_30,customer_30@example.com,272.0240512489484,2026-05-22,North,272.02,Standard,2026-05-22T11:58:19.566353,True
31,Customer_31,customer_31@example.com,552.4591305253854,2026-05-22,South,552.46,Premium,2026-05-22T11:58:19.566353,True
32,Customer_32,customer_32@example.com,63.37828807819288,2026-05-22,East,63.38,Basic,2026-05-22T11:58:19.566353,False
33,Customer_33,customer_33@example.com,556.8979410322214,2026-05-22,East,556.9,Premium,2026-05-22T11:58:19.566353,True
34,Customer_34,customer_34@example.com,31.09559817363598,2026-05-22,East,31.1,Basic,2026-05-22T11:58:19.566353,False
35,Customer_35,customer_35@example.com,960.6854885882863,2026-05-22,West,960.69,Premium,2026-05-22T11:58:19.566353,True
36,Customer_36,customer_36@example.com,704.6400507979921,2026-05-22,East,704.64,Premium,2026-05-22T11:58:19.566353,True
37,Customer_37,customer_37@example.com,910.2451624377372,2026-05-22,South,910.25,Premium,2026-05-22T11:58:19.566353,True
38,Customer_38,customer_38@example.com,186.38504871511998,2026-05-22,North,186.39,Standard,2026-05-22T11:58:19.566353,False
39,Customer_39,customer_39@example.com,463.6022851982779,2026-05-22,South,463.6,Standard,2026-05-22T11:58:19.566353,True
40,Customer_40,customer_40@example.com,929.3281337423098,2026-05-22,East,929.33,Premium,2026-05-22T11:58:19.566353,True
41,Customer_41,customer_41@example.com,507.04989657789366,2026-05-22,North,507.05,Premium,2026-05-22T11:58:19.566353,True
42,Customer_42,customer_42@example.com,113.06779273889316,2026-05-22,East,113.07,Standard,2026-05-22T11:58:19.566353,False
43,Customer_43,customer_43@example.com,95.45009577095752,2026-05-22,East,95.45,Basic,2026-05-22T11:58:19.566353,False
44,Customer_44,customer_44@example.com,426.78759535366976,2026-05-22,North,426.79,Standard,2026-05-22T11:58:19.566353,True
45,Customer_45,customer_45@example.com,968.0459124613895,2026-05-22,East,968.05,Premium,2026-05-22T11:58:19.566353,True
46,Customer_46,customer_46@example.com,658.6027192125982,2026-05-22,South,658.6,Premium,2026-05-22T11:58:19.566353,True
47,Customer_47,customer_47@example.com,867.2213765268012,2026-05-22,North,867.22,Premium,2026-05-22T11:58:19.566353,True
48,Customer_48,customer_48@example.com,425.533944553258,2026-05-22,South,425.53,Standard,2026-05-22T11:58:19.566353,True
49,Customer_49,customer_49@example.com,98.95789398558226,2026-05-22,North,98.96,Basic,2026-05-22T11:58:19.566353,False
50,Customer_50,customer_50@example.com,226.6428002668776,2026-05-22,South,226.64,Standard,2026-05-22T11:58:19.566353,True
51,Customer_51,customer_51@example.com,352.2772018701064,2026-05-22,East,352.28,Standard,2026-05-22T11:58:19.566353,True
52,Customer_52,customer_52@example.com,658.4757264907871,2026-05-22,North,658.48,Premium,2026-05-22T11:58:19.566353,True
53,Customer_53,customer_53@example.com,947.8632267999627,2026-05-22,West,947.86,Premium,2026-05-22T11:58:19.566353,True
54,Customer_54,customer_54@example.com,817.5799450972522,2026-05-22,East,817.58,Premium,2026-05-22T11:58:19.566353,True
55,Customer_55,customer_55@example.com,484.60693651469563,2026-05-22,West,484.61,Standard,2026-05-22T11:58:19.566353,True
56,Customer_56,customer_56@example.com,376.5225763551993,2026-05-22,East,376.52,Standard,2026-05-22T11:58:19.566353,True
57,Customer_57,customer_57@example.com,288.68465092192326,2026-05-22,South,288.68,Standard,2026-05-22T11:58:19.566353,True
58,Customer_58,customer_58@example.com,64.67381652974566,2026-05-22,North,64.67,Basic,2026-05-22T11:58:19.566353,False
59,Customer_59,customer_59@example.com,324.39685870096287,2026-05-22,East,324.4,Standard,2026-05-22T11:58:19.566353,True
60,Customer_60,customer_60@example.com,211.2180471766722,2026-05-22,South,211.22,Standard,2026-05-22T11:58:19.566353,True
